AuthorId,AuthorName,AuthorSSN
4839,91,872-10-8505.1
9082,80,355-35-6596.25
10029,69,619-62-6432.04
6146,81,329-34-8804.33
6842,88,388-46-8385.49
6985,94,406-55-5964.38
7842,86,704-64-4765.84
714,66,818-58-3834.31
5448,76,672-31-1266.1
7810,78,170-76-9492.83
5891,94,736-54-3335.25
7289,79,603-82-6804.46
8155,86,747-96-1032.34
9125,69,290-20-9917.98
4804,81,862-75-7045.43
72,62,406-58-2216.44
495,53,150-90-7448.79
4282,99,102-82-7605.54
949,87,458-38-2502.36
8736,71,925-77-8066.06
2959,76,347-86-2788.3
5297,64,497-58-7965.73
1487,63,723-96-4594.95
10749,83,212-72-2077.65
6748,60,369-20-5868.57
7721,71,661-82-7267.21
7158,56,188-15-6477.76
2944,75,327-11-9430.89
6067,51,242-37-4643.5
208,75,933-71-2326.53
10347,92,541-65-3348.29
890,65,477-35-5458.95
1108,56,838-18-1201.07
694,65,406-35-8355.12
3840,84,753-75-5458.97
8188,68,229-71-9987.09
11605,68,864-21-5122
2214,68,285-70-7817.46
10976,93,921-12-5309.67
10929,88,951-71-7371.38
11675,79,533-81-2581.26
10554,96,327-19-4573.3
11287,79,578-70-8745.41
10644,78,509-67-6833.54
10292,89,104-69-9322.21
6023,82,488-56-6867.5
2266,83,145-85-4274.91
5253,98,647-23-8072.11
10893,87,349-94-8243.46
6157,62,686-46-3475.31
1544,73,199-10-1468.36
589,59,628-83-6361.66
3712,80,815-38-8498.9
1882,68,201-36-8628.45
3899,70,429-73-8348.66
3418,87,358-40-8697.95
7269,65,728-86-4835.44
11272,57,278-29-3866.18
505,82,933-34-7549.89
11193,68,219-66-6063.44
4746,53,928-49-3804.5
11488,70,611-54-6067.08
8785,69,342-33-1551.78
1497,85,155-46-6167.43
3830,96,155-61-1264.82
8676,59,377-92-3437.12
729,69,823-54-7572.06
10881,60,224-22-3776.34
9655,97,450-45-2729.19
10165,71,443-70-2745.3
4997,80,102-88-9185.1
8133,77,854-28-8898.7
4828,76,140-88-6573.14
6541,60,449-41-7991.48
2464,66,791-40-4970.73
786,60,252-60-6632.17
7752,59,104-42-2113.81
11779,63,641-52-5480.92
5370,93,121-48-5974.25
7326,95,137-34-7213.79
3583,52,112-85-1192.57
73,88,549-29-4014
8044,79,598-60-4687.1
10821,91,736-19-9350.52
10635,76,659-95-5349.54
6341,81,959-60-6567.66
774,84,917-57-6445.08
4261,66,579-28-5155.04
1900,60,743-79-5077.88
6389,66,652-64-1730.31
7215,50,427-42-2382.6
9462,60,152-87-3646.86
4864,73,905-19-3701.14
142,86,319-26-5866.81
2465,64,684-15-3834.36
6370,76,849-97-1933.46
4339,65,535-10-3518.63
4126,53,491-72-5346.57
8927,72,720-85-8482.55
10315,88,774-69-8655.74
4061,89,662-85-4122.79
6244,52,814-65-3875.21
1708,59,698-83-5647.32
377,84,521-27-8240.38
3206,63,314-68-3452.08
7489,79,131-19-9804.45
8448,53,768-16-4357.75
8117,62,590-55-5034.98
8772,77,415-61-1248.97
1191,94,661-10-8902.42
6143,56,964-72-6278.94
6776,86,858-52-7074.5
9878,69,931-53-6269.58
219,64,589-74-5926.29
7492,87,236-15-1109.34
3439,75,378-94-2455.06
1197,95,322-69-6745.49
5064,61,357-69-6619.23
1604,62,838-45-6533.02
6402,78,302-61-4071.34
2006,68,207-89-8518.07
7667,73,750-38-4082.03
11719,74,186-72-8904.67
1118,83,267-14-5983.05
6858,91,917-76-8106.57
11587,78,576-10-6257.31
5376,95,454-88-1691.56
402,62,267-32-7871.91
4242,99,443-33-2205.57
4410,76,782-78-1490.92
10367,63,879-33-1636.15
2341,93,564-88-2144.45
4585,50,714-83-2224.41
4324,57,918-22-2642.09
611,98,530-56-5270.01
4600,93,176-77-5115.39
9833,78,227-34-7743.96
2821,53,671-37-7787.66
9791,82,945-66-3589.39
3566,63,624-62-9704.43
802,54,840-81-1010
6338,80,454-83-9254.55
477,70,554-94-1994.83
807,60,503-14-3605.54
4740,87,571-72-9540.13
6353,97,511-68-5299.52
3755,89,891-41-2937.33
7891,54,934-79-8377.8
9191,92,558-33-6734.48
9973,92,208-94-4850.92
8263,94,683-97-9512.14
192,77,302-46-6651.7
11265,56,534-71-7035.05
605,82,427-45-3154.75
11188,71,717-82-7721.76
9351,98,799-15-9720.87
70,70,367-85-4417.44
4796,63,282-19-1763.45
1475,70,899-96-2623.31
1225,89,269-24-3645.97
2260,60,989-46-2177.57
10757,75,156-78-3437.84
6673,58,454-44-4879.16
11942,79,489-30-5727.38
6741,68,301-50-6105.83
10414,57,444-41-2423.92
426,93,586-83-8539.42
888,89,254-20-3158.98
9959,52,436-19-4072.96
11425,72,870-71-9779.96
1227,61,821-33-7084.77
6787,89,532-60-3805.09
7345,65,617-35-3587.66
2972,87,150-37-1718.95
3441,84,418-57-6558.9
1573,65,562-55-6355.36
1222,58,982-77-6506.27
334,55,874-94-1219.34
11835,93,689-31-9602.12
3914,64,652-75-2272.41
9981,58,771-51-7123.42
9793,62,164-87-8417.9
4800,90,952-69-4136.63
7237,96,987-61-2574.01
2524,99,267-63-8063.98
6270,61,688-44-2228.16
8846,66,241-36-6315.81
6448,51,359-65-7367.91
5302,77,126-59-7390.86
6922,81,377-87-2045.7
8426,92,558-38-4033.27
4,77,123-81-6314.06
4433,68,199-76-3692.99
3004,55,452-53-8042.94
10330,88,168-69-7284.45
130,74,167-76-8580.56
2426,51,969-55-7355.69
196,60,188-91-1332.07
762,65,576-76-9363.61
4525,77,448-56-9078.1
9110,66,509-11-2777.56
6307,51,909-93-4148.77
8212,62,444-21-4167.46
4037,92,218-46-4624.03
7236,52,345-84-1845.62
5081,95,329-89-4155.62
3276,94,136-50-9398.22
9001,64,538-76-6030.35
247,69,321-87-4658.43
10227,81,347-56-3257.79
